仙人部落, 全何話放送された？, 12話, 23話, 34話, 45話, 2, 1963年9月4日～1964年2月23日にかけて、フジテレビ系にて全23話が放送されました。
仙人部落, 元祖深夜アニメと言われている『仙人部落』の原作者は？, 小島功, 手塚治虫, いがらしみきお, （4択目）, 1, 「週刊アサヒ芸能」にて59年に渡り連載された小島功の代表作を、日本初の大人向け深夜アニメーション番組として制作、放送されました。
仙人部落, 日本初の○○アニメ。○○に入る言葉は？, 深夜, ミニ, テレビ, （4択目）, 1, 放送時間は23：40～23：55( ＃8まで)、22：30～22：45(＃9から)と、日本で初めて大人向けアニメとして、深夜帯に放送されました。
鉄人28号, 鉄人28号を奪い取ろうとする、国際密輸組織の名前は？, PW団, PX団, PY団, PZ団, 2, 国際密輸組織・PX団をはじめとする、さまざまな悪の組織が鉄人28号を奪い取ろうと画策します。
鉄人28号, 『鉄人28号』のTVオープニング映像内で「グリコ」というセリフは何回登場するでしょうか？, 3回, 5回, 6回, （4択目）, 3, オープニング映像の初めに3回、終わりに3回、計6回「グリコ、グリコ、グリコ～♪」と提供が入っておりました。
エイトマン, エイトマンの本名は？, 東八郎, 西三郎, 南浩二, （4択目）, 1, 犯罪者の罠に倒れた東八郎は、外国で軍事ロボットを研究していた谷方位博士の手によって、生前の記憶を移植したスーパーロボット・エイトマンに生まれ変わりました。
エイトマン, エイトマンのハイスピードを表現するため、オープニングに登場する乗り物は？, ジャンボジェット, スポーツカー, 新幹線, （4択目）, 3, エイトマンには小型原子炉が備わっており、十万キロワットのエネルギー源で人間の千倍のスピードで走ることが出来ます。
エイトマン, エイトマンの能力として正しいのはどれ？, 重力を操作することが出来る, どんな顔にもなることが出来る, 時間を止めることが出来る, 光の速さで走ることが出来る, 2, エイトマンの肌は人造ひふが使用されており、どんな顔にも形を変えられます。
エイトマン, 『エイトマン』の主題歌（オープニング映像）の中に「ファイト」は何回出てきた？, 3回, 4回, 5回, 8回, 3, 主題歌「エイトマン」の曲中に「ファイト」が9回登場する内、オープニング映像では冒頭の5回が登場します。
未来からきた少年　スーパージェッター, ジェッターはタイムパトロール何号？, 725367号, 763527号, 723567号, 726537号, 3, ジェッターは、30世紀の時間局に所属するタイムパトロール723567号です。
未来からきた少年　スーパージェッター, ジェッターが乗っている乗り物の名前は？, 遊星号, 恒星号, 彗星号, 流星号, 4, ジェッターは、タイムマシン・流星号に乗ってパトロールをします。
遊星少年パピイ          , パピイの変身道具は？, ステッキ, ペンダント, コンパクト, ブレスレット, 2, 普段は地球の少年の姿ですが、事件があればペンダントへの「ピィー、パピイ！」のコールで変身し、地球の平和を守るために活躍します。
遊星少年パピイ          , ヒロインのリコちゃんの実家の職業は？, 牧場, 漁師, パン屋, 喫茶店, 1, リコちゃんの実家では牧場を営み、
遊星仮面          , 地球とピネロン星が戦争を始めたのはピーターが何歳の時？, 0歳, 5歳, 10歳, 15歳, 4, ピーターが誕生した15年後、ピネロン星周辺で発生した宇宙船事故を発端に、両星の間で戦争が巻き起こりました。
遊星仮面          , ピーターの母親は何星人？, アポロン星人, ソラン星人, ダザーン星人, ピネロン星人, 4, ピーターは地球人の父親・ロバートと、ピネロン星人の母親・マリアとの間に生まれました。
UFO戦士ダイアポロン       , 番組開始当初はヘッダー以外に搭乗者がいなかったアポロンロボだが後半よりUFO少年団が操縦した。ロボに1度も乗らなかった団員は誰？, ごろやん, ミキッぺ, ちょこ松, ハカセ, 3, アポロン・トラングーは主に五郎（ごろやん）、アポロン・レッガーは主に（ミキッペ）が操縦し、秀樹（ハカセ）が操縦する事もありましたが、松男（ちょこ松）が操縦することはありませんでした。
UFO戦士ダイアポロン       , 全高120メートルのダイアポロンが縮小化し敵の体内に入り込み、元の大きさに戻る反動を利用して内部から敵を破壊する必殺技の名前は？, アポロン太陽拳, アポロンファイヤー, アポロンダイナマイト, アポロンデストロイ, 4, アポロンデストロイは、アポロン星に伝わる戦法で、ラビより伝授されました。習得には大変な修練を積む必要がありました。
UFO戦士ダイアポロン       , 『UFO戦士ダイアポロンⅡ』を放送したテレビ局はどこ？, 日本テレビ, テレビ東京, テレビ朝日, フジテレビ, 2, 『UFO戦士ダイアポロンⅡ』はテレビ東京にて放送されました。
キャプテン       , オープニング主題歌のタイトル「君は○○出来る」。○○に入る言葉は？, 野球が, 挨拶が, やれば, 何かが, 4, 99Harmonyが歌う、「君は何かができる」が主題歌として使用されました。
キャプテン       , 墨谷二中に転入してきた谷口タカオが以前通っていた学校はどこ？, 青葉学院, 江田川中学, 金成中学, 北戸中学, 1, 谷口は墨谷二中に転入前、野球の強豪校である青葉学院中等部で、2軍の補欠として野球部に所属していました。
キャプテン       , 墨谷二中は青葉学院との地区予選決勝が再試合となる。その理由は何？, 延長18回引き分けに終わったから, 青葉学院がルール違反を行ったから, 豪雨で途中で試合が中止となったから, 墨谷二中がルール違反を行ったから, 2, 解説
ガラスの仮面, 北島マヤ、姫川亜弓が狙う、かつて月影千草が演じた役のタイトルは何？, 翠天女, 白天女, 紫天女, 紅天女, 4, かつて大女優と謳われた月影千草が上映権を持つ、「紅天女」の主演の座を獲得する為、マヤと亜弓はお互いをライバルと認め切磋琢磨しながら演技を磨いてゆきます。
ガラスの仮面, マヤが商業演劇「おんな河」で出演した劇場の名前は？, 栄進座, コスモホール, 東京大都劇場, オリオン劇場, 1, マヤは栄進座の演出家兼看板女優の原田菊子の目に留まり、「おんな河」の子守役を演じました。
